Date,test_year,test_wk
2017-06-25,2017,25
2017-06-25,2017,25
2017-06-25,2017,25
2017-06-25,2017,25
2017-06-25,2017,25
2017-06-25,2017,25
2017-06-25,2017,25
2017-06-25,2017,25
2017-06-25,2017,25
2017-06-25,2017,25
2017-06-25,2017,25
2017-07-02,2017,26
2017-07-02,2017,26
2017-07-02,2017,26
2017-07-02,2017,26
2017-07-02,2017,26
2017-07-02,2017,26
2017-07-02,2017,26
2017-07-02,2017,26
2017-07-02,2017,26
2017-07-02,2017,26
2017-07-02,2017,26
2017-07-02,2017,26
2017-07-02,2017,26
2017-07-02,2017,26
2017-07-02,2017,26
2017-07-02,2017,26
2017-07-02,2017,26
2017-07-02,2017,26
2017-07-02,2017,26
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-09,2017,27
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-16,2017,28
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-23,2017,29
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-07-30,2017,30
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-06,2017,31
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-13,2017,32
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-20,2017,33
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-08-27,2017,34
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-03,2017,35
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-10,2017,36
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-17,2017,37
2017-09-24,2017,38
